;Соотношение матрица-наполнитель;Плотность, кг/м3;модуль упругости, ГПа;Количество отвердителя, м.%;Содержание эпоксидных групп,%_2;Температура вспышки, С_2;Поверхностная плотность, г/м2;Модуль упругости при растяжении, ГПа;Прочность при растяжении, МПа;Потребление смолы, г/м2;Угол нашивки, град;Шаг нашивки;Плотность нашивки
0;0.2747681573441284;0.6510974334379016;0.4470609668067585;0.0791527229972539;0.6074352788639465;0.5091642558680447;0.1622300759299859;0.2803027574302783;0.7125897643021948;0.5292214598226429;0.0;0.28933398479445543;0.557156130863542
1;0.2747681573441284;0.6510974334379016;0.4470609668067585;0.6309830456633327;0.4188869582763597;0.5835962428969839;0.1622300759299859;0.2803027574302783;0.7125897643021948;0.5292214598226429;0.0;0.36235458543436677;0.33583997698864465
2;0.4665524311847129;0.6510974334379016;0.45572116201974966;0.511256821226667;0.4956530602298741;0.5091642558680447;0.1622300759299859;0.2803027574302783;0.7125897643021948;0.5292214598226429;0.0;0.36235458543436677;0.5060831722770273
3;0.46583643656237606;0.5715393459875102;0.45268530022921777;0.511256821226667;0.4956530602298741;0.5091642558680447;0.1622300759299859;0.2803027574302783;0.7125897643021948;0.5292214598226429;0.0;0.36235458543436677;0.557156130863542
4;0.4242362426822196;0.3328650836363387;0.48850846935749437;0.511256821226667;0.4956530602298741;0.5091642558680447;0.1622300759299859;0.2803027574302783;0.7125897643021948;0.5292214598226429;0.0;0.36235458543436677;0.7273993261519245
5;0.42252756512348477;0.3063457211528746;0.32335758795255803;0.511256821226667;0.4956530602298741;0.5091642558680447;0.29393783851485633;0.5954859506743171;0.22384708066422376;0.1906590543540749;0.0;0.5083957867141894;0.33583997698864465
6;0.6313787897051696;0.3859038086032651;0.5382966027222178;0.6309830456633327;0.4188869582763597;0.5835962428969839;0.29393783851485633;0.5954859506743171;0.22384708066422376;0.1906590543540749;0.0;0.5083957867141894;0.5060831722770273
7;0.6262014211546278;0.8367329708221467;0.8613122972348138;0.6309830456633327;0.4188869582763597;0.5835962428969839;0.7820313116234937;0.78459586662074;0.3053041946038856;0.8000713841974973;0.0;0.5083957867141894;0.557156130863542
8;0.49767357136718815;0.9958491457229277;0.5650121864788986;0.6309830456633327;0.4188869582763597;0.5835962428969839;0.7820313116234937;0.78459586662074;0.3053041946038856;0.8000713841974973;0.0;0.5083957867141894;0.7273993261519245
9;0.48879554714093587;0.545019983504047;0.9869969753628353;0.6309830456633327;0.4188869582763597;0.5835962428969839;0.7820313116234937;0.78459586662074;0.3053041946038856;0.8000713841974973;0.0;0.6544369879940121;0.33583997698864465
